Name,Type,LOQ in H2O,LOQ,Use,Usage
Bupropion,PHAR,10,19,an antidepressant medication,Constant
Carbamazepine,PHAR,10,11,anticonvulsant,Constant
Amantadine,PHAR,10,11,an antiviral medicine that blocks the actions of viruses,Winter
Gabapentin,PHAR,0,2,Nerve pain medication and anticonvulsant,Constant
Nadolol,PHAR,10,10,a beta-blocker that affects the heart and circulation,Constant
Protriptyline,PHAR,10,7,Nerve pain medication and antidepressant,Constant
Losartan,PHAR,10,14,used to treat high blood pressure (hypertension) and to help protect the kidneys from damage due to diabetes,Constant
Desvenlafaxine (O-Desmethyl Venlafaxine),PHAR,10,12,an antidepressant medication,Constant
Naproxen,PHAR,10,11,a 10-hydroxy derivative and an active metabolite of oxcarbazepine,Constant
Citalopram,PHAR,10,13,an antidepressant ,Constant
Dexpanthenol,PHAR,10,23,an over-the-counter (OTC) topical skin cream used to treat dermatoses and eczema,Winter
Bamethan,PHAR,10,10,a vasodilator,Constant
Levetiracetam,PHAR,10,10,medication used to treat epilepsy,Constant
Diphenhydramine,PHAR,10,11,an antihistamine,Spring//summer
Sulfapyridine,PHAR,25,160,a sulfanilamide antibacterial medication,Constant
Diltiazem,PHAR,10,13,used to treat high blood pressure and to control angina,Constant
Methocarbamol,PHAR,10,10,a muscle relaxant,Constant
Oxcarbazepine,PHAR,10,12,an anticonvulsant,Constant
Sertraline,PHAR,10,13,an antidepressant,Constant
Flecainide,PHAR,10,12,an anti-arrhythmic drug,Constant
Fluconazole,PHAR,1,2,azole antifungal used to prevent and treat a variety of fungal and yeast infections,Summer
Gemfibrozil,PHAR,10,11,used to treat abnormal blood lipid levels,Constant
Propranolol,PHAR,10,11,a beta-blocker,Constant
Acetaminophen,PHAR,25,25,pain reliever,Constant
Azelaic Acid,PHAR,10,23,topical antiseptic; treats rosacea and severe acne,Constant
Desipramine,PHAR,10,7,an oral antidepressant,Constant
Dopamine,PHAR,25,25,"organic chemical used in supplements to support many brain-related functions, such as mood, motivation and memory",Constant
Benzoylecgonine,PHAR TP,1,1,the compound tested for in most substantive cocaine urinalyses,Summer
"10,11-Dihydro-10-hydroxy Carbamazepine",PHAR TP,10,13,anticonvulsant,Constant
2-Ethyl-2-phenylmalonamide,PHAR TP,10,11,an active metabolite of the anticonvulsant drug primidone,Constant
Hydroxy Bupropion,PHAR TP,25,35,major active metabolite of the antidepressant and smoking cessation drug bupropion,Constant
N4-Acetylsulfamethoxazole,PHAR TP,1,2,a metabolite of Sulfamethoxazole,Constant
Ritalinic Acid,PHAR TP,10,33,inactive major metabolite of the psychostimulant drugs methylphenidate and ethylphenidate,Constant
