Sample ID,Sampling Date,Precip,Q_mm_day,Q_4day_aver,Q_7day_aver,Q_14day_aver,Baseflow,Runoff,RR_7day,P_4day_cum,P_7day_cum,P_14day_cum,Temp_C
05082019_Honeoye_Creek_1,5/8/19,5,1.04604239,1.2674142,1.18366126,1.20381756,0.02315447,1.022887918,0.36024473,5,23,40,7.7
05292019_Honeoye_Creek_1,5/29/19,4,0.83683391,1.0168505,1.21702341,1.95655105,0.02739146,0.809442455,0.50112729,17,17,30,14.4
07262018_NinemileCreek_Lakeland_1,7/26/18,23,1.64127831,0.4447864,0.46823326,0.46752985,0.23331312,1.407965196,0.04256666,71,77,88,21.7
08202018_NinemileCreek_Lakeland_1,8/20/18,0,0.21993129,0.5719855,0.58863274,0.54678015,0.21993129,0,0.09810546,18,42,67,20.6
06112019_NinemileCreek_Lakeland_1,6/11/19,18,1.60845275,1.4279121,1.44080789,1.72979011,0.2218839,1.386568846,0.27258528,18,37,60,17.8
07032019_NinemileCreek_Lakeland_1,7/3/19,0,0.93552864,1.7541162,2.18055548,2.21279487,0.22845514,0.707073495,15.26388833,1,1,49,21.7
09012018_NinemileCreek_Marietta_1,9/1/18,0,0.368467,0.4464277,0.4227464,0.3603192,0.3576524,0.01500744,0.4227464,25,26,35,19.1
09212018_NinemileCreek_Marietta_1,9/21/18,0,0.3742115,0.3309227,0.3029331,0.3788422,0.3116697,0.06254172,0.06236858,10,10,37,16.2
06112019_NinemileCreek_Marietta_1,6/11/19,16,1.6084527,1.3273838,1.4126717,1.4542898,0.3176969,1.29075586,0.260229,16,30,53,16.7
06142019_NinemileCreek_Marietta_1,6/14/19,13,1.4935633,1.4073962,1.3329525,1.3687089,0.3282172,1.16534611,0.26659049,29,29,59,14
06182019_NinemileCreek_Marietta_1,6/18/19,0,1.4197057,1.4894601,1.4255675,1.4191196,0.3438313,1.07587441,0.17819593,22,35,65,17.5
06212019_NinemileCreek_Marietta_1,6/21/19,32,5.0058989,2.7942763,2.2450343,1.7889934,0.3613816,4.64451723,0.3143048,43,65,94,18
07032019_NinemileCreek_Marietta_1,7/3/19,0,0.935528,0.9991282,1.1559289,2.0650798,0.3772147,0.5583139,0.27901731,1,1,51,20.5
08012018_OatkaCreek_1,8/1/18,0,0.20978253,0.4803098,0.36548926,0.28295943,0.20978253,0,0.36548926,1,7,60,23.4
08222018_OatkaCreek_1,8/22/18,5,0.39190144,0.2306455,0.23250623,0.23787429,0.21003864,0.181862799,0.04520955,5,36,95,21.3
05082019_Oakta_Creek_1,5/8/19,5,1.56299515,2.0079185,1.90352127,2.17521765,0.23918467,1.323810475,0.53298596,5,25,45,7.6
05292019_Oakta_Creek_1,5/29/19,3,0.94978466,1.1722464,1.31929173,1.94666336,0.22487683,0.724907835,0.5130579,15,18,32,14
09012018_OneidaCreek_1,9/1/18,0,0.40701586,0.3415286,0.38735784,0.79549871,0.1996836,0.20733226,0.13557524,20,20,31,19.1
09212018_OneidaCreek_1,9/21/18,1,0.3589366,0.4507431,0.89005855,0.62704364,0.20187419,0.15706241,0.44502927,14,14,56,16.9
05062019_Oneida_Creek_1,5/6/19,7,2.17185654,2.0848165,2.32343649,2.46376637,0.20724901,1.964607527,0.58085912,18,28,56,12.9
05272019_Oneida_Creek_1,5/27/19,0,1.39264083,2.4744243,2.77817636,3.80963058,0.21709174,1.175549089,1.62060287,12,12,81,17.4
09012018_OriskanyCreek_1,9/1/18,2,0.68080333,0.5135483,0.55577118,0.78301735,0.49923617,0.181567161,0.2047578,19,19,30,18.8
09212018_OriskanyCreek_1,9/21/18,1,0.60421296,0.7501929,1.16924232,0.86311461,0.50721714,0.096995822,0.58462116,14,14,62,17.6
05062019_Oriskany_Creek_1,5/6/19,7,2.71666715,2.6806631,3.05332814,2.89481692,0.51534716,2.201319991,0.68946119,22,31,71,13.1
05272019_Oriskany_Creek_1,5/27/19,0,1.97694814,3.1945387,3.46947853,4.56596467,0.5233616,1.453586547,1.27822893,16,19,78,17.4
09012018_OtselicRiver_1,9/1/18,2,0.65562435,0.7954266,1.0605688,2.15786725,0.60534484,0.050279507,0.9279977,8,8,24,17.8
09212018_OtselicRiver_1,9/21/18,0,0.84845504,0.9223735,1.51418004,0.96934151,0.60097497,0.247480069,0.2717759,39,39,106,16.1
06142019_OtselicRiver_1,6/14/19,8,0.71347355,0.7584674,0.81539835,1.13770107,0.59559851,0.117875041,0.19682029,29,29,52,13.3
07082019_OtselicRiver_1,7/8/19,0,0.59263299,0.7472189,0.958644,2.07568464,0.59263299,0,1.3421016,5,5,26,19.2
09012018_SalmonCreek_1,9/1/18,2,0.1939271,0.2509331,0.31966006,0.59152332,0.16859802,0.025329082,0.15983003,14,14,26,19.1
09212018_SalmonCreek_1,9/21/18,0,0.26105571,0.2866285,0.53900774,0.31958395,0.1705921,0.090463613,0.17150246,22,22,72,16.8
05062019_Salmon_Creek_1,5/6/19,6,1.47043626,1.2679849,1.35474976,1.71398678,0.17288137,1.297554892,0.59270302,11,16,29,10.6
05272019_Salmon_Creek_1,5/27/19,0,1.26798489,1.3798659,1.70789802,2.76285231,0.17509707,1.092887823,0.66418256,17,18,54,18.6
09012018_SauquoitCreek_1,9/1/18,2,0.50464283,0.4194844,0.45643142,0.59070246,0.2415423,0.263100529,0.159751,20,20,28,18.9
09212018_SauquoitCreek_1,9/21/18,0,0.23655133,0.2570524,0.78782856,0.61965183,0.23655133,0,0.45956666,12,12,58,17.8
05062019_Sauquoit_Creek_1,5/6/19,6,2.90169627,2.4483062,3.18781073,2.92422497,0.24016799,2.661528287,0.76947156,20,29,67,13.2
05272019_Sauquoit_Creek_1,5/27/19,0,1.38145975,2.7597655,2.82284583,3.92449915,0.2469136,1.134546147,1.41142292,13,14,66,17.6
07262018_ScribaCreek_1,7/26/18,29,4.06880728,0.1968314,0.18882681,0.19255409,0.21055088,3.858256401,0.01592515,79,83,90,21.8
08202018_ScribaCreek_1,8/20/18,0,0.51952003,0.321022,0.30921622,0.32340286,0.21569128,0.303828742,0.04509403,21,48,66,20.1
06112019_ScribaCreek_1,6/11/19,24,2.32174879,1.7418863,1.6991129,1.95870872,0.21868198,2.103066811,0.25856066,24,46,69,16.9
07032019_ScribaCreek_1,7/3/19,0,0.65514694,1.4666096,2.24293412,2.68544565,0.21340427,0.441742663,7.85026942,2,2,61,20.8
09012018_SixmileCreek_1,9/1/18,0,0.26254941,0.4263997,0.54538041,0.8318232,0.26254941,0,0.63627715,6,6,23,18
09212018_SixmileCreek_1,9/21/18,0,1.27579564,0.340828,0.61539359,0.40971599,0.26397429,1.011821356,0.11045526,39,39,94,15.6
05062019_Sixmile_Creek_1,5/6/19,7,1.80283927,1.3448364,1.5202861,2.07608513,0.26678428,1.536054985,0.76014305,11,14,28,10.2
05272019_Sixmile_Creek_1,5/27/19,0,0.82654443,1.2101583,1.72449119,2.7753834,0.26906855,0.557475881,0.7544649,15,16,52,16.9
06142019_SixmileCreek_1,6/14/19,12,0.72152467,1.3531019,1.11687685,1.05769904,0.27024579,0.451278883,0.41148094,19,19,45,13.6
07082019_SixmileCreek_1,7/8/19,0,0.35201069,0.4404996,0.5064842,1.40693143,0.26590421,0.086106482,0.13636113,26,26,33,18
09012018_SkaneatelesCreek_1,9/1/18,0,0.19483505,0.2030586,0.18923218,0.19013587,0.18778269,0.007052359,0.06307739,20,21,27,19
09212018_SkaneatelesCreek_1,9/21/18,0,0.21128216,0.1983142,0.21381249,0.20179344,0.18833474,0.022947418,0.18708593,8,8,45,16.2
05062019_Skaneateles_Creek_1,5/6/19,7,1.03110755,1.0051717,1.04701246,0.94471502,0.19006593,0.841041628,0.29316349,13,25,50,11.9
05272019_Skaneateles_Creek_1,5/27/19,0,2.51767366,2.9826209,2.98939859,2.42125019,0.19661212,2.321061538,1.23092883,16,17,57,17.6
06112019_SkaneatelesCreek_1,6/11/19,23,0.83753767,0.9121823,1.37252073,1.91256444,0.20621374,0.631323926,0.24634987,23,39,62,17
06142019_SkaneatelesCreek_1,6/14/19,14,0.42509465,0.7262034,0.81349958,1.53907036,0.21455264,0.210542009,0.15390533,37,37,68,14.4
06182019_SkaneatelesCreek_1,6/18/19,0,0.41370818,0.6828715,0.68246488,1.0274928,0.22160058,0.192107603,0.15410497,17,31,70,17.3
06212019_SkaneatelesCreek_1,6/21/19,31,2.96048059,0.4662124,0.58649325,0.69999642,0.2273178,2.733162787,0.07078367,41,58,95,18
07032019_SkaneatelesCreek_1,7/3/19,0,1.60675656,2.9035483,2.89541508,1.93009598,0.23126367,1.375492889,20.26790555,1,1,57,21.2
