"Name","Type","Detec. Freq.","Use"
"Simazine","PEST",12.2,"used to control broad-leaved weeds and annual grasses in berry fruit, vegetable and ornamental crops, turfgrass, and orchards and vineyards"
"Thiamethoxam","PEST",5.6,"a systemic insecticide"
"Atrazine2hydroxy","PEST TP",100,"transformation product of Atrazine"
"Atrazinedesethyl","PEST TP",96.7,"transformation product of Atrazine"
"Atrazinedesisopropyl","PEST TP",34.4,"transformation product of Atrazine"
"MetolachlorEthaneSulfonicAcidMetolachlorESA","PEST TP",73.3,"the ESA degradates of Metolachlor; can be persistent in soil"
"MetolachlorOxanilicAcidMetolachlorOA","PEST TP",60,"the OA degradates of Metolachlor; can be persistent in soil"
"2Hydroxybenzothiazole","PCHC",1.1,"released into wastewaters during the industrial production of a rubber vulcanization accelerator"
"5Methyl1Hbenzotriazole","PCHC",62.2,"corrosion inhibitor in antifreeze, engine oils, brake fluids, protective coatings"
"1HBenzotriazole","PCHC",22.2,"an effective corrosion inhibitor for copper alloys."
"Benzophenone","PCHC",81.1,"used in personal care products such as lip balm and nail polish to protect the products from UV light"
"Benzophenone3Oxybenzone","PCHC",18.9,"benzophenone derivative used as a sunscreen agent; absorbs UVB and UVA II rays"
"Benzothiazole","PCHC",85.6,"found in many natural plant products; properties include anticancer, antimicrobial, antidiabetic, anticonvulsant, anti-inflammatory activities"
"NNDiethyl3methylbenzamideDEET","PCHC",52.2,"most common active ingredient in insect repellents"
"Sucralose","PCHC",74.4,"artificial sweetener and sugar substitute; the majority of ingested sucralose is not broken down by the body"
"Triclosan","PCHC",5.6,"antibacterial antifungal agent in some toothpaste, soaps, detergents, toys, and surgical cleaning treatments"
"Galaxolidone","PCHC TP",100,"a synthetic musk with a clean sweet musky floral woody odor used in fragrances (perfumes, colognes, soaps, detergents, etc)"
